0,GŁOGÓW,151160060,Odra
1,OSETNO,151160140,Barycz
2,KORZENSKO,151160200,Orla
3,KANCLERZOWICE,151160220,Sasiecznica
4,ŁĄKI,151170040,Barycz
5,BOGDAJ,151170060,Polska Woda
6,ODOLANÓW,151170070,Barycz
7,ŚCINAWA,151160130,Odra
8,MALCZYCE,151160150,Odra
9,PIATNICA,151160100,Kaczawa
10,RZESZOTARY,151160080,Czarna Woda
11,BUKOWNA,151160040,Czarna Woda
12,CHOJNÓW,151150180,Skora
13,BRZEG DOLNY,151160170,Odra
14,JARNOTÓW,151160190,Bystrzyca
15,BOGDASZOWICE,151160180,Strzegomka
16,ZAGRODNO,151150160,Skora
17,DUNINO,151160050,Kaczawa
18,RZYMÓWKA,151160020,Kaczawa
19,ŚWIERZAWA,151150170,Kaczawa
20,JAWOR,151160090,Nysa Szalona
21,WINNICA,151160070,Nysa Szalona
22,MALCZYCE,151160150,Odra
23,GNIECHOWICE,150160290,Czarna Woda
24,ŚLĘZA,151160230,Ślęza
25,BORÓW,150160280,Ślęza
26,BIAŁOBRZEGI,150160250,Ślęza
27,MIĘTKÓW,150160160,Bystrzyca
28,KRASÓW,150160120,Bystrzyca
29,ŁĄŻANY,150160090,Strzegomka
30,CHWAŁSZÓW,150160030,Strzegomka
31,ŚWIEBODZICE,150160020,Pełcznica
32,LUBACHÓW,150160070,Bystrzyca
33,JUGOWICE,150160060,Bystrzyca
34,DZIERŻONIÓW,150160140,Piława
35,MOŚCISKO,150160130,Piława
36,BIAŁOBRZEGI,150160250,Ślęza
37,BORÓW,150160280,Ślęza
38,ŚLĘZA,151160230,Ślęza
39,TRESTNO,151170030,Odra
40,OŁAWA,150170030,Oława
41,OŁAWA,150170040,Odra
42,ZBOROWICE,150170010,Oława
43,BRZEG,150170090,Odra
44,UJŚCIE NYSY KŁODZKIEJ,150170130,Odra
45,SKOROGOSZCZ,150170140,Nysa Kłodzka
46,KOPIE,150170100,Nysa Kłodzka
47,MALERSZOWICE WIELKIE,150170320,Nysa Kłodzka
48,NYSIA,150170060,Nysa Kłodzka
49,BIAŁA NYSKA,150170050,Biała Głuchołaska
50,OPOLE-GROSZOWICE,150170290,Odra
51,ZBYTOWA,151170050,Widawa
52,NAMYSŁÓW,151170090,Widawa
53,KARŁOWICE,150170150,Stobrawa
54,DOMARADZ,150170200,Bogacica
55,KRZYWA GÓRA,150170210,Budkowiczanka
56,TURAWA,150180020,Mała Panew
57,OZIMEK,150180050,Mała Panew
58,STANISZCZE WIELKIE,150180100,Mała Panew
59,KRĄKOWICE,150170240,Odra
60,DOBRA,150170220,Biała
61,RACŁAWICE ŚLĄSKIE,150170180,Osobłoga
62,KAMIENKA,150180010,Stradunia
63,KOŹLE,150180030,Odra
64,LENARTOWICE,150180070,Kłodnica
65,PYSKOWICE-DZIERNO,150180160,Drama
66,PYSKOWICE,150180170,Drama
67,GLIWICE,150180220,Kłodnica
68,KŁODNICA,150180250,Kłodnica
69,GRABÓWKA,150180080,Bierawka
70,NĘDZA,150180090,Sumina
71,RUDA KOZIELSKA,150180110,Ruda
72,RYBNIK-STODOŁY,150180130,Ruda
73,RACIBÓRZ-MIEDOŃIA,150180060,Odra
74,BOJANÓW,150180040,Psina
75,KRZYŻANOWICE,149180010,Odra
76,OLZA,149180300,Odra
77,CHAŁUPKI,149180020,Odra
78,ŁAZISKA,149180030,Olza
